"","article_id","pathogen","covidence_id.x","first_aauthor_surname","first_author_first_name","article_title","doi","journal","year_publication","volume","issue","page_first","page_last","name_data_entry.x","paper_copy_only","notes","ev_population_representation","ev_sampling_frame","ev_random_selection","ev_non_response","iv_subject_proxy","iv_case_definition","iv_parameter_method","iv_mode_collection","iv_prevalence_period","iv_numerator_denominator","covidence_id.y","name_data_entry.y","double_extracted"
"1",1,"Marburg virus",2059,"G A","Martini","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"German Medical Monthly",1968,13,10,457,460,"Christian Morgenstern",TRUE,"scanned version of paper from library
Covers discovery of Marburg in Germany, first detected case.",NA,"Yes","NA","NA","Yes","Yes","NA","Yes","NA","NA",2059,"Christian Morgenstern",0
"2",5,"Marburg virus",2597,"E. D.","Johnson","Filovirus activity among selected ethnic groups inhabiting the tropical forest of equatorial Africa",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,5,536,538,"Dariya Nikitin",FALSE,NA,NA,"Yes","No","NA","Yes","Yes","Yes","Yes","NA","Yes",2597,"Dariya Nikitin",0
"3",6,"Marburg virus",3795,"JS","Gear","Outbreak of Marburg virus disease in Johannesburg","10.1136/bmj.4.5995.489","The British Medical Journal",1975,4,5995,489,493,"Rebecca Nash",FALSE,"3 person outbreak in Johannesburg in 1975. First recorded outbreak in Africa.",NA,"NA","NA","NA","Yes","Yes","Yes","Yes","NA","NA",3795,"Rebecca Nash",0
"4",7,"Marburg virus",2596,"E.D.","Johnson","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,NA,530,535,"Patrick Doohan",FALSE,"This is a large-sample (4295) general population seroprevalence study. Though a bit dated (1993), it (relatively) carefully consdiers geographic and ethnic diversity within the Central African Republic, and finds population-level seroprevalence of 3.2%",NA,"Yes","No","No","Yes","Yes","Yes","Yes","NA","Yes",2596,"Patrick Doohan",0
"5",20,"Marburg virus",2060,"G A","Martini","Marburg virus disease",NA,"Postgraduate Medical Journal",1973,NA,49,542,546,"Christian Morgenstern",FALSE,NA,NA,"Yes","NA","Yes","Yes","Yes","NA","Yes","NA","NA",2060,"Christian Morgenstern",0
"6",21,"Marburg virus",2762,"Mattias","Borchert","Serosurvey on Household Contacts of Marburg Hemorrhagic Fever Patients","10.3201/eid1205.050622","Emerging infectious diseases",2006,12,3,433,439,"Kelly McCain",FALSE,"Suspected cases come from symptomatic contacts who were not identified at the time of the outbreak.
Secondary attack rate and tertiary attack rates are reported in the paper, but only the secondary is recorded in the parameter form.",NA,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2762,"Kelly McCain",0
"7",22,"Marburg virus",2614,"B","Ivanoff","Haemorrhagic fever in Gabon. I. Incidence of Lassa, Ebola and Marburg viruses in Haut-Ogooue","10.1016/0035-9203(82)90089-x","Transactions of the Royal Society of Tropical Medicine and Hygiene",1982,76,NA,719,720,"Ruth McCabe",FALSE,"One thing looked at is pregnant women and newborns",NA,"No","No","No","No","Yes","Yes","No","Yes","Yes",2614,"Ruth McCabe",0
"8",23,"Marburg virus",2883,"CG","Albarino","Genomic analysis of filoviruses associated with four viral hemorrhagic fever outbreaks in Uganda and the Democratic Republic of the Congo in 2012","10.1016/j.virol.2013.04.014","Virology",2013,442,2,97,100,"Joseph",FALSE,NA,NA,"NA","NA","NA","Yes","Yes","Yes","Yes","NA","Yes",2883,"Joseph",0
"9",24,"Marburg virus",2601,"B. K.","Johnson","Antibodies against haemorrhagic fever viruses in Kenya populations",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1983,77,5,731,733,"Dariya Nikitin",FALSE,NA,NA,"No","No","NA","Yes","Yes","Yes","No","NA","Yes",2601,"Dariya Nikitin",0
"10",25,"Marburg virus",2116,"F","Rodhain","Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district 1984","10.1016/0035-9203(89)90352-0","Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,NA,NA,851,854,"Ruth McCabe",FALSE,NA,NA,"No","No","No","Yes","Yes","Yes","No","Yes","Yes",2116,"Ruth McCabe",0
"11",27,"Marburg virus",2886,"Marco","Ajelli","Transmission potential and design of adequate control measures for Marburg hemorrhagic fever","10.1371/journal.pone.0050948","PloS one",2012,7,12,NA,NA,"Joseph",FALSE,NA,NA,"Yes","Yes","NA","Yes","No","Yes","No","Yes","Yes",2886,"Joseph",0
"12",32,"Marburg virus",2808,"S.","Becker","Evidence for occurrence of filovirus antibodies in humans and imported monkeys: do subclinical filovirus infections occur worldwide?",NA,"Medical microbiology and immunology",1992,181,1,43,55,"Kelly McCain",FALSE,"ELISA positive sera were confirmed using immunofluorescence and immunoblot tests.",NA,"No","No","No","No","Yes","Yes","No","NA","No",2808,"Kelly McCain",0
"13",33,"Marburg virus",2696,"Serena","Carroll","Molecular evolution of viruses of the family filoviridae based on 97 whole-genome sequences","10.1128/JVI.03118-12","Journal of Virology",2013,87,NA,2608,2616,"Ruth McCabe",FALSE,"Parameters are x10-4 which isnâ€™t in the value field on the parameter form. Also the sequences include bats as well as humans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2696,"Ruth McCabe",0
"14",35,"Marburg virus",2869,"Brian","Amman","Seasonal pulses of Marburg virus circulation in juvenile Rousettus aegyptiacus bats coincide with periods of increased risk of human infection","10.1371/journal.ppat.1002877","PLOS Pathogens",2012,8,10,NA,NA,"Christian Morgenstern",FALSE,"Study focused on bats but contains risk factors for 13 suspected virus spillover events to humans.",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA",2869,"Christian Morgenstern",0
"15",37,"Marburg virus",2369,"Jean Paul","Gonzalez","Ebola and Marburg virus antibody prevalence in selected populations of the Central African Republic
decision-making",NA,"Microbes and infection",2000,2,1,39,44,"Ettie Unwin",FALSE,"First 4 Qas hard to evaluate since method of participant selection was not included in this paper",NA,"No","No","No","Yes","Yes","Yes","Yes","Yes","Yes",2369,"Ettie Unwin",0
"16",38,"Marburg virus",3473,"RJ","Schoepp","Undiagnosed Acute Viral Febrile Illnesses Sierra Leone","10.3201/eid2007.131265","Emerging Infectious Diseases",2014,20,7,1176,1182,"Joseph",FALSE,"Serology study of patients with suspected Lassa fever but negative on serology. Also reported number of IgM positive that were not also IgG positive",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3473,"Joseph",0
"17",40,"Marburg virus",2370,"J. P.","Gonzalez","Antibody prevalence against haemorrhagic fever viruses in randomized representative Central African populations",NA,"Research in virology",1989,140,NA,319,331,"Ettie Unwin",FALSE,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",2370,"Ettie Unwin",0
"18",42,"Marburg virus",2241,"Barbara","Knust","Multidistrict Outbreak of Marburg Virus Disease-Uganda, 2012","10.1093/infdis/jiv351","The Journal of Infectious Diseases",2015,212,NA,119,128,"Ettie Unwin",FALSE,"It's in Supplement 2 of the journal.  Page numbers are S119 and S128. Use risk factor outcome to indicate what outcome is being recorded.  Death = death, other = recovery",NA,"Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes",2241,"Ettie Unwin",0
"19",43,"Marburg virus",2761,"Matthias","Borchert","Pygmy populations seronegative for Marburg virus","10.3201/eid1101.040377","Emerging Infectious Diseases",2005,11,1,174,177,"Christian Morgenstern",FALSE,NA,NA,"No","No","No","Yes","Yes","NA","Yes","NA","NA",2761,"Christian Morgenstern",0
"20",44,"Marburg virus",2120,"Paul","Roddy","Factors associated with Marburg hemorrhagic fever: analysis of patient data from Uige, Angola","10.1086/652748","The Journal of infectious diseases",2010,201,12,1909,1918,"Christian Morgenstern",FALSE,NA,NA,"No","No","Yes","Yes","Yes","NA","Yes","NA","Yes",2120,"Christian Morgenstern",0
"21",45,"Marburg virus",2759,"Matthias","Borchert","Short communication: a cluster of Marburg virus disease involving an infant","10.1046/j.1365-3156.2002.00945.x","Tropical Medicine & International Health",2002,7,10,902,906,"Jack Wardle",FALSE,NA,NA,"NA","NA","NA","Yes","Yes","NA","Yes","NA","NA",2759,"Jack Wardle",0
"22",46,"Marburg virus",4657,"Matthias","Borchert","Use of Protective Gear and the Occurrence of Occupational Marburg Hemorrhagic Fever in Health Workers from Watsa Health Zone, Democratic Republic of the Congo","10.1086/520540","The Journal of Infectious Diseases",2007,196,NA,168,175,"Jack Wardle",FALSE,"Serosurvey of surviving HCW who had treated patients with Marburg haemorrhagic fever during outbreak (Oct '98 - Sep '00)",NA,"Yes","NA","No","Yes","Yes","Yes","Yes","Yes","Yes",4657,"Jack Wardle",0
"23",49,"Marburg virus",4693,"Jennifer","Adjemian","Outbreak of Marburg Hemorrhagic Fever Among Miners in Kamwenge and Ibanda Districts, Uganda, 2007","10.1093/infdis/jir312","The Journal of Infectious Diseases",2011,204,NA,796,799,"Jack Wardle",FALSE,"Article appeared in Issue suppl_3. All infected individuals in outbreak were mineworkers in tunnel with bat population.",NA,"NA","NA","No","Yes","Yes","Yes","Yes","Yes","NA",4693,"Jack Wardle",0
"24",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gina",0
"25",55,"Marburg virus",2600,"B.K.","Johnson","Viral haemorrhagic fever surveillance in Kenya, 1980-1981",NA,"Tropical and Geographical Medicine",1983,35,1,43,47,"Dariya Nikitin",TRUE,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes","NA","Yes",2600,"Dariya Nikitin",0
"26",57,"Marburg virus",2819,"Daniel","Bausch","Marburg Hemorrhagic Fever Associated with Multiple Genetic Lineages of Virus","10.1056/NEJMoa051465","The New England journal of medicine",2006,355,9,909,919,"Cyril",FALSE,NA,NA,"Yes","No","No","Yes","Yes","Yes","No","NA","Yes",2819,"Cyril",0
"27",58,"Marburg virus",2822,"Daniel","Bausch","Risk factors for Marburg hemorrhagic fever, Democratic Republic of the Congo","10.3201/eid0912.030355","Emerging infectious diseases",2003,9,12,1531,1537,"Cyril",FALSE,NA,NA,"Yes","NA","NA","Yes","Yes","Yes","Yes","NA","Yes",2822,"Cyril",0
"28",2,"Marburg virus",2042,"Christian","Mathiot","Antibodies to haemorrhagic fever viruses in Madagascar",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,83,NA,407,409,"Christian Morgenstern",FALSE,NA,NA,"Yes","No","NA","Yes","NA","NA","Yes","NA","NA",2042,"Christian Morgenstern",1
"29",3,"Marburg virus",1649,"Y","Suzuki","The origin and evolution of Ebola and Marburg viruses","10.1093/oxfordjournals.molbev.a025820","Molecular biology and evolution",1997,14,8,800,806,"Gina",FALSE,"Mutation rate",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1649,"Gina",1
"30",4,"Marburg virus",1692,"D.H.","Smith","Marburg-Virus Disease in Kenya",NA,"The Lancet",1982,1,8276,816,820,"Kelly McCain",TRUE,"This outbreak is of 2 patients, whose 186 contacts were followed up with serology testing in addition to various samples from the population. It does not specify whether if it is IgG or IgM, so I assumed IgG since it is longer lasting",NA,"No","No","No","Yes","Yes","No","Yes","NA","No",1692,"Kelly McCain",1
"31",8,"Marburg virus",1615,"O","Tomori","Viral hemorrhagic fever antibodies in Nigerian populations","10.4269/ajtmh.1988.38.407","The American Journal of Tropical Medicine and Hygiene",1988,38,2,407,410,"Ruth McCabe",TRUE,"Parameters for Lassa, RVF, Ebola, Marburg & CCHF, only Marburg parameters extracted here but this paper should be in the other pathogens;
quality assessment difficult because no details on sampling",NA,"No","No","No","Yes","Yes","Yes","Yes","No","Yes",1615,"Ruth McCabe",1
"32",9,"Marburg virus",1693,"Smiley","Evans","Suspected Exposure to Filoviruses Among People Contacting Wildlife in Southwestern Uganda","10.1093/infdis/jiy251","The Journal of Infectious Diseases",2018,218,NA,277,286,"Kelly McCain",FALSE,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes","NA","Yes",1693,"Kelly McCain",1
"33",10,"Marburg virus",1692,"D","Smith","Marburg-virus disease in Kenya",NA,"Lancet",1982,1,8276,816,820,"Gina",TRUE,NA,NA,"No","Yes","NA","Yes","Yes","NA","Yes","NA","NA",1692,"Gina",1
"34",11,"Marburg virus",1983,"N","Moyen","Risk Factors Associated with Ebola and Marburg Viruses Seroprevalence in Blood Donors in the Republic of Congo","10.1371/journal.pntd.0003833","PLoS neglected tropical diseases",2015,9,6,NA,NA,"Jack Wardle",FALSE,NA,NA,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1983,"Jack Wardle",1
"35",12,"Marburg virus",1930,"Luke","Nyakarahuka","Isolated Case of Marburg Virus Disease, Kampala, Uganda, 2014","https://dx.doi.org/10.3201/eid2306.170047","Emerging Infectious Diseases",2017,23,6,1001,1004,"Anne Cori",FALSE,"single case outbreak",NA,"NA","NA","NA","Yes","Yes","NA","NA","NA","NA",1930,"Anne Cori",1
"36",14,"Marburg virus",1930,"L","Nyakarahuka","Isolated Case of Marburg Virus Disease Kampala Uganda 2014","10.3201/eid2306.170047","Emerging Infectious Diseases",2017,23,6,1001,1004,"Joseph",FALSE,NA,NA,"NA","Yes","NA","Yes","Yes","Yes","Yes","NA","NA",1930,"Joseph",1
"37",15,"Marburg virus",1931,"Luke","Nyakarahuka","How severe and prevalent are Ebola and Marburg viruses? A systematic review and meta-analysis of the case fatality rates and seroprevalence","10.1186/s12879-016-2045-6","BMC infectious diseases",2016,16,1,708,NA,"Joseph",FALSE,"Meta-analysis of CFR and seroprevalence",NA,"Yes","Yes","Yes","NA","Yes","Yes","Yes","Yes","Yes",1931,"Joseph",1
"38",17,"Marburg virus",1931,"Luke","Nyakarahuka","How severe and prevalent are Ebola and Marburg viruses? A systematic review and meta-analysis of the case fatality rates and seroprevalence","10.1186/s12879-016-2045-6","BMC infectious diseases",2016,16,1,708,NA,"Rebecca Nash",FALSE,"Meta-analysis approach to estimate the case fatality and seroprevalence rates. 12 CFR studies (excluded 0% CFR and 100% CFR - not valid?) - 9 countries. 11 seroprevalence studies - 7+ countries (one study looks at central african countries).",NA,"Yes","NA","Yes","NA","NA","No","Yes","NA","NA",1931,"Rebecca Nash",1
"39",26,"Marburg virus",2032,"A","Mbonye","Repeated outbreaks of Viral hemorrhagic fevers in Uganda","10.4314/ahs.v12i4.31","African Health Sciences",2012,12,4,579,883,"Jack Wardle",FALSE,NA,NA,"NA","NA","NA","Yes","No","No","Yes","Yes","Yes",2032,"Jack Wardle",1
"40",28,"Marburg virus",1615,"Oyewale","Tomori","Viral hemorrhagic fever antibodies in Nigerian populations",NA,"The American Society of Tropical Medicine and Hygiene",1988,38,2,407,410,"Dariya Nikitin",FALSE,NA,NA,"No","No","NA","Yes","Yes","Yes","Yes","NA","Yes",1615,"Dariya Nikitin",1
"41",29,"Marburg virus",1483,"Gianguglielmo","Zehender","Distribution of Marburg virus in Africa: An evolutionary approach","10.1016/j.meegid.2016.06.014","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2016,44,NA,NA,NA,"Gina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1483,"Gina",1
"42",30,"Marburg virus",1983,"Nanikaly","Moyen","Risk Factors Associated with Ebola and Marburg Viruses Seroprevalence in Blood Donors in the Republic of Congo","10.1371/journal.pntd.0003833","PLOS Neglected Tropical Diseases",2015,9,6,NA,NA,"Rebecca Nash",FALSE,"Seroprevalence survey of 809 rural/urban blood donors (9.3% rural, 90.7% urban)",NA,"No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",1983,"Rebecca Nash",1
"43",31,"Marburg virus",1871,"Boris I","Palvin","Calculation of incubation period and serial interval from multiple outbreaks of Marburg virus disease","10.1186/1756-0500-7-906","BMC research notes",2014,7,NA,906,NA,"Cyril Geismar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1871,"Cyril Geismar",1
"44",34,"Marburg virus",1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyril Geismar",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1927,"Cyril Geismar",1
"45",36,"Marburg virus",1483,"Gianguglielmo","Zehender","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","10.1016/j.meegid.2016.06.014",NA,2016,44,NA,8,16,"Christian Morgenstern",FALSE,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA",1483,"Christian Morgenstern",1
"46",39,"Marburg virus",1595,"Fransje W","Van der Waals","Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa",NA,"Tropical and Geographical Medicince",1986,38,NA,209,214,"Ettie Unwin",FALSE,NA,NA,"Yes","No","NA","Yes","Yes","Yes","Yes","Yes","Yes",1595,"Ettie Unwin",1
"47",41,"Marburg virus",2042,"Christian C.","Mathiot","Antibodies to haemorrhagic fever viruses in Madagascar populations",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,83,NA,407,409,"Ettie Unwin",FALSE,NA,NA,"Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2042,"Ettie Unwin",1
"48",47,"Marburg virus",1595,"F.W.","Van der Waals","Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa",NA,"Tropical and geographical medicine",1986,38,1,209,214,"Patrick Doohan",TRUE,"This is a small-sample (225) seroprevalence study with a focus on epileptics, to explore whether MBG and other HFVs are risk factors for epilepsy. The conclusion is negative, but it calculates some seroprevalence estimates",NA,"Yes","No","No","Yes","Yes","Yes","Yes","NA","No",1595,"Patrick Doohan",1
"49",48,"Marburg virus",1649,"Y","Suzuki","The origin and evolution of Ebola and Marburg viruses","10.1093/oxfordjournals.molbev.a025820","Molecular Biology and Evolution",1997,14,8,800,806,"Ruth McCabe",FALSE,"Nonsynonymous substitution rates only - couldn't do synonymous because such a large number of them. Parameter values are x10-4.
Some mutation rates were estimated to be negative so were not presented in the paper.",NA,"No","No","No","No","Yes","Yes","No","Yes","NA",1649,"Ruth McCabe",1
"50",50,"Marburg virus",2032,"A","Mbonye","Repeated outbreaks of Viral hemorrhagic fevers in Uganda",NA,"African health sciences",2012,12,4,579,583,"Gina",FALSE,"Contains epidemic curve and CFR split by confirmed and suspected",NA,"NA","NA","Yes","Yes","Yes","Yes","Yes",NA,"Yes",2032,"Gina",1
"51",51,"Marburg virus",1649,"Y","Suzuki","The origin and evolution of Ebola and Marburg viruses",NA,"Molecular biology and evolution",1997,14,8,800,806,"Gina",FALSE,"Rates of non-synonymous substitutions. Table 4 compares substitution rates b/w viruses",NA,"NA","NA","NA","Yes","NA","Yes","Yes","NA","NA",1649,"Gina",1
"52",52,"Marburg virus",1692,"D H","Smith","Marburg-virus disease in Kenya",NA,"Lancet",1982,1,8276,816,820,"Gina",TRUE,"3 positive samples from hospital workers",NA,"No","No","No","Yes","NA","NA","Yes","NA","Yes",1692,"Gina",1
"53",54,"Marburg virus",1613,"Jonathan S.","Towner","Marburgvirus Genomics and Association with a Large Hemorrhagic
Fever Outbreak in Angola","10.1128/jvi.00069-06","Journal of Virology",2006,80,13,6497,6516,"Dariya Nikitin",FALSE,"Paper couldn't establish rateof mutation over tie for outbreka due to epidemiological link between the 11 patient samples not being established.",NA,"Yes","No","Yes","Yes","Yes","Yes","No","NA","NA",1613,"Dariya Nikitin",1
"54",56,"Marburg virus",1927,"Aileen","O'Hearn","Serosurveillance of viral pathogens circulating in West Africa","10.1186/s12985-016-0621-4","Virology journal",2016,13,1,163,NA,"Cyril",FALSE,NA,NA,"Yes","No","NA","Yes","Yes","Yes","Yes","NA","Yes",1927,"Cyril",1
