"","Covidence #","qa_m1","qa_m2","qa_a3","qa_a4","qa_d5","qa_d6","qa_d7","covidence_id","article_id","pathogen","first_aauthor_surname","article_title","doi","journal","year_publication","volume","issue","page_first","page_last","name_data_entry","paper_copy_only","notes","ev_population_representation","iv_numerator_denominator","ev_sampling_frame","ev_random_selection","ev_non_response","iv_subject_proxy","iv_case_definition","iv_parameter_method","iv_mode_collection","iv_prevalence_period","first_author_first_name","double_extracted"
"1","#2059","NA","NA","NA","NA",1,"0","0",2059,1,"Marburg virus","G A","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"German Medical Monthly",1968,13,10,457,460,"Christian Morgenstern",TRUE,"scanned version of paper from library
Covers discovery of Marburg in Germany, first detected case.",NA,"NA","Yes","NA","NA","Yes","Yes","NA","Yes","NA","Martini",0
"2","#2060","NA","NA","NA","NA",1,"0","0",2060,20,"Marburg virus","G A","Marburg virus disease",NA,"Postgraduate Medical Journal",1973,NA,49,542,546,"Christian Morgenstern",FALSE,NA,NA,"NA","Yes","NA","Yes","Yes","Yes","NA","Yes","NA","Martini",0
"3","#2116","1","1","NA","NA",0,"0","0",2116,25,"Marburg virus","F","Arbovirus infections and viral haemorrhagic fevers in Uganda: a serological survey in Karamoja district 1984","10.1016/0035-9203(89)90352-0","Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,NA,NA,851,854,"Ruth McCabe",FALSE,NA,NA,"Yes","No","No","No","Yes","Yes","Yes","No","Yes","Rodhain",0
"4","#2120","1","1","NA","NA",1,"1","0",2120,44,"Marburg virus","Paul","Factors associated with Marburg hemorrhagic fever: analysis of patient data from Uige, Angola","10.1086/652748","The Journal of infectious diseases",2010,201,12,1909,1918,"Christian Morgenstern",FALSE,NA,NA,"Yes","No","No","Yes","Yes","Yes","NA","Yes","NA","Roddy",0
"5","#2241","1","0","NA","NA",1,"0","0",2241,42,"Marburg virus","Barbara","Multidistrict Outbreak of Marburg Virus Disease-Uganda, 2012","10.1093/infdis/jiv351","The Journal of Infectious Diseases",2015,212,NA,119,128,"Ettie Unwin",FALSE,"It's in Supplement 2 of the journal.  Page numbers are S119 and S128. Use risk factor outcome to indicate what outcome is being recorded.  Death = death, other = recovery",NA,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Knust",0
"6","#2369","1","1","NA","NA",0,"0","0",2369,37,"Marburg virus","Jean Paul","Ebola and Marburg virus antibody prevalence in selected populations of the Central African Republic
decision-making",NA,"Microbes and infection",2000,2,1,39,44,"Ettie Unwin",FALSE,"First 4 Qas hard to evaluate since method of participant selection was not included in this paper",NA,"Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Gonzalez",0
"7","#2370","1","0","NA","NA",1,"1","1",2370,40,"Marburg virus","J. P.","Antibody prevalence against haemorrhagic fever viruses in randomized representative Central African populations",NA,"Research in virology",1989,140,NA,319,331,"Ettie Unwin",FALSE,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Gonzalez",0
"8","#2405","NA","NA","NA","NA",0,"NA","NA",2405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","#2573","NA","NA","NA","NA",1,"NA","NA",2573,60,"Marburg virus","J. Lyle","Epidemiologic investigation of Marburg virus disease, Southern Africa, 1975",NA,"The American journal of tropical medicine and hygiene",1978,27,6,1210,1215,"Patrick Doohan",TRUE,"This is not available online, but I requested a copy from the library and uploaded the pdf to Covidence. Only outbreak data was extracted, since there were no parameters of interest (using our wording) identified.",NA,"NA","Yes","NA","NA","Yes","Yes","No","Yes","NA","Conrad",0
"10","#2596","1","1","NA","NA",1,"1","0",2596,7,"Marburg virus","E.D.","Haemorrhagic fever virus activity in equatorial Africa: distribution and prevalence of filovirus reactive antibody in the Central African Republic",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,NA,530,535,"Patrick Doohan",FALSE,"This is a large-sample (4295) general population seroprevalence study. Though a bit dated (1993), it (relatively) carefully consdiers geographic and ethnic diversity within the Central African Republic, and finds population-level seroprevalence of 3.2%",NA,"Yes","Yes","No","No","Yes","Yes","Yes","Yes","NA","Johnson",0
"11","#2597","1","1","NA","NA",1,"0","0",2597,5,"Marburg virus","E. D.","Filovirus activity among selected ethnic groups inhabiting the tropical forest of equatorial Africa",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1993,87,5,536,538,"Dariya Nikitin",FALSE,NA,NA,"Yes","Yes","No","NA","Yes","Yes","Yes","Yes","NA","Johnson",0
"12","#2600","1","1","NA","NA",1,"0","NA",2600,55,"Marburg virus","B.K.","Viral haemorrhagic fever surveillance in Kenya, 1980-1981",NA,"Tropical and Geographical Medicine",1983,35,1,43,47,"Dariya Nikitin",TRUE,NA,NA,"Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","NA","Johnson",0
"13","#2601","1","1","NA","NA",0,"0","0",2601,24,"Marburg virus","B. K.","Antibodies against haemorrhagic fever viruses in Kenya populations",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1983,77,5,731,733,"Dariya Nikitin",FALSE,NA,NA,"Yes","No","No","NA","Yes","Yes","Yes","No","NA","Johnson",0
"14","#2614","1","0","NA","NA",0,"0","0",2614,22,"Marburg virus","B","Haemorrhagic fever in Gabon. I. Incidence of Lassa, Ebola and Marburg viruses in Haut-Ogooue","10.1016/0035-9203(82)90089-x","Transactions of the Royal Society of Tropical Medicine and Hygiene",1982,76,NA,719,720,"Ruth McCabe",FALSE,"One thing looked at is pregnant women and newborns",NA,"Yes","No","No","No","No","Yes","Yes","No","Yes","Ivanoff",0
"15","#2696","1","1","NA","NA",0,"0","0",2696,33,"Marburg virus","Serena","Molecular evolution of viruses of the family filoviridae based on 97 whole-genome sequences","10.1128/JVI.03118-12","Journal of Virology",2013,87,NA,2608,2616,"Ruth McCabe",FALSE,"Parameters are x10-4 which isnâ€™t in the value field on the parameter form. Also the sequences include bats as well as humans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carroll",0
"16","#2759","1","1","NA","NA",1,"1","0",2759,45,"Marburg virus","Matthias","Short communication: a cluster of Marburg virus disease involving an infant","10.1046/j.1365-3156.2002.00945.x","Tropical Medicine & International Health",2002,7,10,902,906,"Jack Wardle",FALSE,NA,NA,"NA","NA","NA","NA","Yes","Yes","NA","Yes","NA","Borchert",0
"17","#2761","1","1","1","1",1,"1","1",2761,43,"Marburg virus","Matthias","Pygmy populations seronegative for Marburg virus","10.3201/eid1101.040377","Emerging Infectious Diseases",2005,11,1,174,177,"Christian Morgenstern",FALSE,NA,NA,"NA","No","No","No","Yes","Yes","NA","Yes","NA","Borchert",0
"18","#2762","0","1","NA","NA",1,"1","0",2762,21,"Marburg virus","Mattias","Serosurvey on Household Contacts of Marburg Hemorrhagic Fever Patients","10.3201/eid1205.050622","Emerging infectious diseases",2006,12,3,433,439,"Kelly McCain",FALSE,"Suspected cases come from symptomatic contacts who were not identified at the time of the outbreak.
Secondary attack rate and tertiary attack rates are reported in the paper, but only the secondary is recorded in the parameter form.",NA,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Borchert",0
"19","#2766","1","1","NA","NA",1,"1","0",2766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","#2808","0","1","NA","NA",0,"0","0",2808,32,"Marburg virus","S.","Evidence for occurrence of filovirus antibodies in humans and imported monkeys: do subclinical filovirus infections occur worldwide?",NA,"Medical microbiology and immunology",1992,181,1,43,55,"Kelly McCain",FALSE,"ELISA positive sera were confirmed using immunofluorescence and immunoblot tests.",NA,"No","No","No","No","No","Yes","Yes","No","NA","Becker",0
"21","#2819","1","1","NA","NA",1,"1","1",2819,57,"Marburg virus","Daniel","Marburg Hemorrhagic Fever Associated with Multiple Genetic Lineages of Virus","10.1056/NEJMoa051465","The New England journal of medicine",2006,355,9,909,919,"Cyril",FALSE,NA,NA,"Yes","Yes","No","No","Yes","Yes","Yes","No","NA","Bausch",0
"22","#2822","1","1","NA","NA",1,"1","0",2822,58,"Marburg virus","Daniel","Risk factors for Marburg hemorrhagic fever, Democratic Republic of the Congo","10.3201/eid0912.030355","Emerging infectious diseases",2003,9,12,1531,1537,"Cyril",FALSE,NA,NA,"Yes","Yes","NA","NA","Yes","Yes","Yes","Yes","NA","Bausch",0
"23","#2869","1","1","1","1",1,"1","1",2869,35,"Marburg virus","Brian","Seasonal pulses of Marburg virus circulation in juvenile Rousettus aegyptiacus bats coincide with periods of increased risk of human infection","10.1371/journal.ppat.1002877","PLOS Pathogens",2012,8,10,NA,NA,"Christian Morgenstern",FALSE,"Study focused on bats but contains risk factors for 13 suspected virus spillover events to humans.",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","Amman",0
"24","#2883","1","0","NA","NA",1,"0","0",2883,23,"Marburg virus","CG","Genomic analysis of filoviruses associated with four viral hemorrhagic fever outbreaks in Uganda and the Democratic Republic of the Congo in 2012","10.1016/j.virol.2013.04.014","Virology",2013,442,2,97,100,"Joseph",FALSE,NA,NA,"Yes","NA","NA","NA","Yes","Yes","Yes","Yes","NA","Albarino",0
"25","#2886","1","1","1","1",1,"1","1",2886,27,"Marburg virus","Marco","Transmission potential and design of adequate control measures for Marburg hemorrhagic fever","10.1371/journal.pone.0050948","PloS one",2012,7,12,NA,NA,"Joseph",FALSE,NA,NA,"Yes","Yes","Yes","NA","Yes","No","Yes","No","Yes","Ajelli",0
"26","#3473","0","0","NA","NA",1,"1","0",3473,38,"Marburg virus","RJ","Undiagnosed Acute Viral Febrile Illnesses Sierra Leone","10.3201/eid2007.131265","Emerging Infectious Diseases",2014,20,7,1176,1182,"Joseph",FALSE,"Serology study of patients with suspected Lassa fever but negative on serology. Also reported number of IgM positive that were not also IgG positive",NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Schoepp",0
"27","#3795","1","0","0","0",1,"0","0",3795,6,"Marburg virus","JS","Outbreak of Marburg virus disease in Johannesburg","10.1136/bmj.4.5995.489","The British Medical Journal",1975,4,5995,489,493,"Rebecca Nash",FALSE,"3 person outbreak in Johannesburg in 1975. First recorded outbreak in Africa.",NA,"NA","NA","NA","NA","Yes","Yes","Yes","Yes","NA","Gear",0
"28","#4282","0","0","NA","NA",0,"0","0",4282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","#4657","1","1","NA","NA",0,"1","0",4657,46,"Marburg virus","Matthias","Use of Protective Gear and the Occurrence of Occupational Marburg Hemorrhagic Fever in Health Workers from Watsa Health Zone, Democratic Republic of the Congo","10.1086/520540","The Journal of Infectious Diseases",2007,196,NA,168,175,"Jack Wardle",FALSE,"Serosurvey of surviving HCW who had treated patients with Marburg haemorrhagic fever during outbreak (Oct '98 - Sep '00)",NA,"Yes","Yes","NA","No","Yes","Yes","Yes","Yes","Yes","Borchert",0
"30","#4693","1","1","NA","NA",1,"0","0",4693,49,"Marburg virus","Jennifer","Outbreak of Marburg Hemorrhagic Fever Among Miners in Kamwenge and Ibanda Districts, Uganda, 2007","10.1093/infdis/jir312","The Journal of Infectious Diseases",2011,204,NA,796,799,"Jack Wardle",FALSE,"Article appeared in Issue suppl_3. All infected individuals in outbreak were mineworkers in tunnel with bat population.",NA,"NA","NA","NA","No","Yes","Yes","Yes","Yes","Yes","Adjemian",0
"31","#5648","1","1","NA","NA",1,"0","0",5648,63,"Marburg virus","S","Viral haemorrhagic fevers and malaria co-infections among febrile patients seeking health care in Tanzania","https://doi.org/10.1186/s40249-022-00959-z","Infectious Diseases of Poverty",2022,NA,NA,NA,NA,"Christian Morgenstern",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rugarabamu",0
"32","#1483","1","1","1","1",1,"1","1",1483,29,"Marburg virus","Gianguglielmo","Distribution of Marburg virus in Africa: An evolutionary approach","10.1016/j.meegid.2016.06.014","Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",2016,44,NA,NA,NA,"Gina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zehender",1
"33","#1595","1","1","NA","NA",0,"0","0",1595,39,"Marburg virus","Fransje W","Hemorrhagic fever virus infections in an isolated rainforest area of central Liberia. Limitations of the indirect immunofluorescence slide test for antibody screening in Africa",NA,"Tropical and Geographical Medicince",1986,38,NA,209,214,"Ettie Unwin",FALSE,NA,NA,"Yes","Yes","No","NA","Yes","Yes","Yes","Yes","Yes","Van der Waals",1
"34","#1613","NA","NA","NA","NA",1,"NA","NA",1613,54,"Marburg virus","Jonathan S.","Marburgvirus Genomics and Association with a Large Hemorrhagic
Fever Outbreak in Angola","10.1128/jvi.00069-06","Journal of Virology",2006,80,13,6497,6516,"Dariya Nikitin",FALSE,"Paper couldn't establish rateof mutation over tie for outbreka due to epidemiological link between the 11 patient samples not being established.",NA,"NA","Yes","No","Yes","Yes","Yes","Yes","No","NA","Towner",1
"35","#1615","1","1","NA","NA",0,"0","0",1615,8,"Marburg virus","O","Viral hemorrhagic fever antibodies in Nigerian populations","10.4269/ajtmh.1988.38.407","The American Journal of Tropical Medicine and Hygiene",1988,38,2,407,410,"Ruth McCabe",TRUE,"Parameters for Lassa, RVF, Ebola, Marburg & CCHF, only Marburg parameters extracted here but this paper should be in the other pathogens;
quality assessment difficult because no details on sampling",NA,"Yes","No","No","No","Yes","Yes","Yes","Yes","No","Tomori",1
"36","#1649","1","0","0","0",1,"1","0",1649,3,"Marburg virus","Y","The origin and evolution of Ebola and Marburg viruses","10.1093/oxfordjournals.molbev.a025820","Molecular biology and evolution",1997,14,8,800,806,"Gina",FALSE,"Mutation rate",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,"Suzuki",1
"37","#1692","1","1","NA","NA",0,"0","0",1692,4,"Marburg virus","D.H.","Marburg-Virus Disease in Kenya",NA,"The Lancet",1982,1,8276,816,820,"Kelly McCain",TRUE,"This outbreak is of 2 patients, whose 186 contacts were followed up with serology testing in addition to various samples from the population. It does not specify whether if it is IgG or IgM, so I assumed IgG since it is longer lasting",NA,"No","No","No","No","Yes","Yes","No","Yes","NA","Smith",1
"38","#1693","1","1","NA","NA",1,"1","0",1693,9,"Marburg virus","Smiley","Suspected Exposure to Filoviruses Among People Contacting Wildlife in Southwestern Uganda","10.1093/infdis/jiy251","The Journal of Infectious Diseases",2018,218,NA,277,286,"Kelly McCain",FALSE,NA,NA,"Yes","Yes","No","No","Yes","Yes","Yes","Yes","NA","Evans",1
"39","#1871","0","0","0","0",1,"0","0",1871,31,"Marburg virus","Boris I","Calculation of incubation period and serial interval from multiple outbreaks of Marburg virus disease","10.1186/1756-0500-7-906","BMC research notes",2014,7,NA,906,NA,"Cyril Geismar",FALSE,NA,NA,"Yes","Yes","NA","NA","Yes","NA","NA","NA","NA","Palvin",1
"40","#1927","1","1","NA","NA",0,"0","0",1927,56,"Marburg virus","Aileen","Serosurveillance of viral pathogens circulating in West Africa","10.1186/s12985-016-0621-4","Virology journal",2016,13,1,163,NA,"Cyril",FALSE,NA,NA,"Yes","Yes","No","NA","Yes","Yes","Yes","Yes","NA","O'Hearn",1
"41","#1930","NA","NA","NA","NA",1,"1","NA",1930,12,"Marburg virus","Luke","Isolated Case of Marburg Virus Disease, Kampala, Uganda, 2014","https://dx.doi.org/10.3201/eid2306.170047","Emerging Infectious Diseases",2017,23,6,1001,1004,"Anne Cori",FALSE,"single case outbreak",NA,"NA","NA","NA","NA","Yes","Yes","NA","NA","NA","Nyakarahuka",1
"42","#1983","1","1","NA","NA",0,"1","0",1983,11,"Marburg virus","N","Risk Factors Associated with Ebola and Marburg Viruses Seroprevalence in Blood Donors in the Republic of Congo","10.1371/journal.pntd.0003833","PLoS neglected tropical diseases",2015,9,6,NA,NA,"Jack Wardle",FALSE,NA,NA,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Moyen",1
"43","#2032","1","0","0","0",0,"0","0",2032,26,"Marburg virus","A","Repeated outbreaks of Viral hemorrhagic fevers in Uganda","10.4314/ahs.v12i4.31","African Health Sciences",2012,12,4,579,883,"Jack Wardle",FALSE,NA,NA,"Yes","NA","NA","NA","Yes","No","No","Yes","Yes","Mbonye",1
"44","#2042","0","0","NA","NA",0,"0","0",2042,2,"Marburg virus","Christian","Antibodies to haemorrhagic fever viruses in Madagascar",NA,"Transactions of the Royal Society of Tropical Medicine and Hygiene",1989,83,NA,407,409,"Christian Morgenstern",FALSE,NA,NA,"NA","Yes","No","NA","Yes","NA","NA","Yes","NA","Mathiot",1
