Division,District,Grand Total
Barishal Division,Jhalakati,1
Chattogram Division,Cumilla,1
Dhaka Division,Dhaka,1
Dhaka Division,Faridpur,71
Dhaka Division,Gopalganj,8
Dhaka Division,Madaripur,6
Dhaka Division,Manikganj,17
Dhaka Division,Rajbari,30
Dhaka Division,Sariatpur,2
Dhaka Division,Tangail,12
Khulna Division,Chuadanga,1
Khulna Division,Jhenaidah,2
Khulna Division,Khulna,1
Khulna Division,Kushtia,12
Khulna Division,Magura,6
Khulna Division,Meherpur,13
Khulna Division,Norail,1
Mymensingh,Mymensingh,2
Rajshahi Division,Bogura,3
Rajshahi Division,Chapainawabganj,1
Rajshahi Division,Naogaon,25
Rajshahi Division,Natore,8
Rajshahi Division,Pabna,4
Rajshahi Division,Rajshahi,12
Rangpur Division,Dinajpur,9
Rangpur Division,Gaibandha,1
Rangpur Division,Jaipurhat,10
Rangpur Division,Kurigram,3
Rangpur Division,Lalmonirhat,24
Rangpur Division,Nilphamari,6
Rangpur Division,Panchagarh,1
Rangpur Division,Rangpur,16
Rangpur Division,Thakurgaon,12